cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column
456199,2,144130.51+114437.6_456199_0.001,149.89338092430862,1.9882419853831572,0.5300999879837036,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.893372,1.988226,0.06589867535120439,0.5296000242233276,-0.0004999637603759766,True,819472,4.5,RAJ2000,DEJ2000,z
456199,2,144130.51+114437.6_456199_0.001,149.89338092430862,1.9882419853831572,0.5300999879837036,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.89339,1.9882396,0.033763140898757094,0.5301,1.201629640235069e-08,True,819472,4.5,RAJ2000,DEJ2000,zsp
420245,19,083905.57+301656.5_420245_0.1,150.61318665821082,1.932967843211606,1.2699999809265137,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.6132,1.9329758,0.05589993240691029,nan,nan,,,,RAJ2000,DEJ2000,zsp
416386,13,143730.46+075127.9_416386_1,150.01650608679552,1.9261628279786458,0.2653000056743622,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.01651,1.926167,0.02058672259143111,0.26489999890327454,-0.0004000067710876465,True,812485,3.5,RAJ2000,DEJ2000,z
416386,13,143730.46+075127.9_416386_1,150.01650608679552,1.9261628279786458,0.2653000056743622,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.01651,1.9261419,0.07664501962409934,nan,nan,,,,RAJ2000,DEJ2000,zsp
422475,6,084115.91+274339.0_422475_0.0003,149.87388887627935,1.9355206850142457,0.5776000022888184,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.873886,1.935516,0.01978785580940154,0.5770999789237976,-0.000500023365020752,True,813087,3.5,RAJ2000,DEJ2000,z
422475,6,084115.91+274339.0_422475_0.0003,149.87388887627935,1.9355206850142457,0.5776000022888184,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.8739,1.9355351,0.0655346181955686,0.5776,-2.288818357065736e-09,True,813087,3.5,RAJ2000,DEJ2000,zsp
435667,2,083406.99+303749.4_435667_0.03,149.72938742283935,1.9568468054124397,0.7272999882698059,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.72937,1.956862,0.0831963718038795,0.7267000079154968,-0.000599980354309082,True,813674,3.5,RAJ2000,DEJ2000,z
435667,2,083406.99+303749.4_435667_0.03,149.72938742283935,1.9568468054124397,0.7272999882698059,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.7294,1.9568528,0.05013387521902678,nan,nan,,,,RAJ2000,DEJ2000,zsp
652370,9,023240.83-092113.5_652370_1,150.16537948452046,2.2894080794980662,0.7279000282287598,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.165375,2.289421,0.04923165535237955,0.7272999882698059,-0.0006000399589538574,True,824544,3.5,RAJ2000,DEJ2000,z
