cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column,best_match
247157,1,162830.17+161314.6_247157_0.1,150.14987925033867,1.6573377410439623,0.7462000250816345,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.149872,1.65732,0.06899126268477339,0.7455999851226807,-0.0006000399589538574,True,805541,3.5,RAJ2000,DEJ2000,z,True
247669,1,161047.73+330337.5_247669_0.001,150.02828858130724,1.6587765681258977,0.09160000085830688,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.02829,1.658759,0.06345096256848062,0.09120000153779984,-0.00039999932050704956,True,806060,4.5,RAJ2000,DEJ2000,z,True
249179,1,154458.49+230810.1_249179_0.1,149.95554948174578,1.6592894935985751,0.3725000023841858,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.955551,1.659265,0.0883460489548551,0.3720000088214874,-0.0004999935626983643,True,806382,3.5,RAJ2000,DEJ2000,z,True
255077,1,153754.47+033959.2_255077_0.3,149.84357026998987,1.6704589610187819,1.2831000089645386,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.84357,1.6704557,0.011779800763180656,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
255316,1,095613.83+555604.3_255316_0.1,149.88808277200485,1.6698324941589344,0.8640000224113464,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.888077,1.669823,0.03999514195829647,0.8633999824523926,-0.0006000399589538574,True,806651,3.5,RAJ2000,DEJ2000,z,True
258666,3,151659.81+240054.6_258666_0.03,150.3655684864859,1.674919846803179,0.6740999817848206,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.36557,1.674917,0.011605774809929506,0.6735000014305115,-0.000599980354309082,True,804506,3.5,RAJ2000,DEJ2000,z,True
259740,1,172133.61+561220.9_259740_0.03,150.4894646430298,1.6767025408350174,0.8349999785423279,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.489456,1.676687,0.06401074984747679,0.8343999981880188,-0.000599980354309082,True,804010,3.5,RAJ2000,DEJ2000,z,True
259971,10,135836.32+104033.0_259971_0.003,149.4614444708666,1.674960497035436,0.8058000206947327,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.461441,1.674957,0.017733747422357348,0.8051999807357788,-0.0006000399589538574,True,808562,3.1,RAJ2000,DEJ2000,z,True
260267,3,075057.26+353037.6_260267_1,150.23716518740412,1.6772267293115266,0.18539999425411224,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.237167,1.677213,0.049854045251061414,0.1850000023841858,-0.00039999186992645264,True,805027,4.5,RAJ2000,DEJ2000,z,True
260473,2,171033.21+584456.8_260473_0.001,150.4201364082221,1.6789698414180219,0.274399995803833,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.420135,1.678946,0.08597856722395725,0.27399998903274536,-0.0004000067710876465,True,804275,3.5,RAJ2000,DEJ2000,z,True
