cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,failure_reason
617512,24,160030.58+231806.8_617512_0.03,149.84748400149599,2.2387006720728944,3.6440000534057617,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
609771,2,080649.15+344745.4_609771_0.003,149.81252882821133,2.226041048063451,1.5516999959945679,vizier,zCOSMOS_Lilly2007,no_vizier_match
609771,2,080649.15+344745.4_609771_0.003,149.81252882821133,2.226041048063451,1.5516999959945679,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
601266,1,080833.36+424836.3_601266_1,149.46541666922244,2.211548034609736,0.5357000231742859,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
600741,1,144321.12+190352.1_600741_0.001,150.50021610839624,2.2124596971099204,0.3010999858379364,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
651345,6,080337.41+364404.5_651345_0.03,150.55510080943762,2.287632140334551,0.36809998750686646,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
669714,2,152337.07+154801.5_669714_0.3,150.1896759143066,2.316031711369254,0.7519000172615051,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
923098,5,135915.86+120109.1_923098_0.003,150.13454302518926,2.6999130231252897,0.35499998927116394,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
915587,3,080320.08+252602.4_915587_0.003,149.50627951157267,2.68759314853932,0.47099998593330383,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
916795,18,144049.11+222825.3_916795_0.3,149.87594286054602,2.693060277983112,1.3990000486373901,vizier,zCOSMOS_Lilly2007,no_vizier_match
916795,18,144049.11+222825.3_916795_0.3,149.87594286054602,2.693060277983112,1.3990000486373901,vizier,COSMOS_Ilbert2013_zspec,no_vizier_match
916795,18,144049.11+222825.3_916795_0.3,149.87594286054602,2.693060277983112,1.3990000486373901,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
927917,5,141240.41+164831.7_927917_0.001,149.990973050978,2.7085261518525603,1.0920000076293945,vizier,zCOSMOS_Lilly2007,no_vizier_match
927917,5,141240.41+164831.7_927917_0.001,149.990973050978,2.7085261518525603,1.0920000076293945,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
943655,11,161736.10+131413.7_943655_0.3,150.05035073368282,2.7341503137013357,0.8059999942779541,vizier,zCOSMOS_Lilly2007,no_vizier_match
943655,11,161736.10+131413.7_943655_0.3,150.05035073368282,2.7341503137013357,0.8059999942779541,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
587285,3,084404.20+413803.8_587285_0.0001,149.8393627464939,2.1934192023189865,1.7402000427246094,vizier,zCOSMOS_Lilly2007,no_vizier_match
587285,3,084404.20+413803.8_587285_0.0001,149.8393627464939,2.1934192023189865,1.7402000427246094,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
433407,5,161815.53+370103.8_433407_0.001,149.64876683424174,1.9548413738815056,2.505500078201294,vizier,zCOSMOS_Lilly2007,no_vizier_match
433407,5,161815.53+370103.8_433407_0.001,149.64876683424174,1.9548413738815056,2.505500078201294,vizier,COSMOS_Ilbert2013_zspec,no_vizier_match
433407,5,161815.53+370103.8_433407_0.001,149.64876683424174,1.9548413738815056,2.505500078201294,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
432099,1,080409.24+385348.8_432099_0.0003,150.55995647425726,1.9491856007384945,0.218299999833107,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
436135,6,164806.79+272658.8_436135_0.01,149.59586284362507,1.9562206511302702,0.5309000015258789,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
553219,1,161608.39+514721.0_553219_0.0003,150.52320900171847,2.1416529328739426,0.5717999935150146,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
547577,6,080731.96+262600.9_547577_0.1,150.01547727015912,2.133973054945459,0.9549999833106995,vizier,zCOSMOS_Lilly2007,no_vizier_match
547577,6,080731.96+262600.9_547577_0.1,150.01547727015912,2.133973054945459,0.9549999833106995,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
554694,1,080719.65+203248.1_554694_0.001,149.7179812868329,2.1434932635949497,0.6977999806404114,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
463262,2,154042.89+323307.2_463262_0.0003,150.75065616862616,2.0014599522706056,0.9259999990463257,vizier,zCOSMOS_Lilly2007,no_vizier_match
463262,2,154042.89+323307.2_463262_0.0003,150.75065616862616,2.0014599522706056,0.9259999990463257,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
465221,8,083434.48+073900.2_465221_0.1,149.8123648011061,2.005023958305963,1.0255000591278076,vizier,zCOSMOS_Lilly2007,no_vizier_match
465221,8,083434.48+073900.2_465221_0.1,149.8123648011061,2.005023958305963,1.0255000591278076,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
556070,2,084136.18+541047.1_556070_0.01,150.06761362468706,2.1468798578202937,3.0118000507354736,vizier,zCOSMOS_Lilly2007,no_vizier_match
556070,2,084136.18+541047.1_556070_0.01,150.06761362468706,2.1468798578202937,3.0118000507354736,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
585406,1,075853.87+484043.0_585406_0.1,150.6977173954686,2.1903091606157252,0.7487999796867371,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
592463,45,091504.68+513041.5_592463_0.03,149.93796718487596,2.201944887748546,1.0199999809265137,vizier,zCOSMOS_Lilly2007,no_vizier_match
592463,45,091504.68+513041.5_592463_0.03,149.93796718487596,2.201944887748546,1.0199999809265137,vizier,COSMOS_Ilbert2013_zspec,no_vizier_match
592463,45,091504.68+513041.5_592463_0.03,149.93796718487596,2.201944887748546,1.0199999809265137,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
581920,1,081629.74+534111.6_581920_0.003,150.23722019549945,2.1839776213951083,0.6963000297546387,vizier,C3R2_KMOS_Euclid2020,no_vizier_match
579212,11,080657.69+095839.6_579212_0.003,150.08768237852073,2.181818927961303,2.7288999557495117,vizier,zCOSMOS_Lilly2007,no_vizier_match
