row_index,object_id,ID_COSMOS,COSMOS_ID0,luminosity_bin,log_stellar_mass_truth,recovered_logm,logm16,logm84,residual_log_ratio,residual_errorbar_distance_dex,errorbar_y_min,errorbar_y_max,abs_residual_log_ratio,residual_rank_in_bin
142,074700.19+285608.5_473476_0.0003,473476,473476,L < 42,8.82973,4.580683631059691,4.120396787441376,5.402316695916474,-4.249046368940308,3.427413304083526,-4.709333212558624,-3.427413304083526,4.249046368940308,1
281,082053.76+513539.1_922124_0.0001,922124,922124,L < 42,10.1193,6.801857583323993,4.621512422461525,7.753389995713366,-3.317442416676008,2.3659100042866346,-5.4977875775384755,-2.3659100042866346,3.317442416676008,2
807,145113.57+030341.0_922124_0.0001,922124,922124,L < 42,10.1193,6.921524984639918,5.522101061034643,7.874600240466681,-3.197775015360083,2.2446997595333196,-4.597198938965358,-2.2446997595333196,3.197775015360083,3
829,145849.72+191033.4_473476_0.0001,473476,473476,L < 42,8.82973,5.640596443550034,-5.780087881781067,6.888295080201418,-3.189133556449965,1.9414349197985814,-14.609817881781067,-1.9414349197985814,3.189133556449965,4
235,080718.99+140524.7_922277_0.0003,922277,922277,L < 42,10.7506,7.562965480702671,6.631115277225158,8.151365558178577,-3.1876345192973297,2.599234441821423,-4.119484722774843,-2.599234441821423,3.1876345192973297,5
56,030227.42-071940.7_922124_0.0001,922124,922124,L < 42,10.1193,6.9339595586181,5.502634235877604,7.560778326076912,-3.185340441381901,2.5585216739230887,-4.616665764122397,-2.5585216739230887,3.185340441381901,6
626,103951.49+643004.2_922124_0.0001,922124,922124,L < 42,10.1193,6.9542558472129805,5.31111610881087,7.613484569638858,-3.1650441527870203,2.5058154303611433,-4.808183891189131,-2.5058154303611433,3.1650441527870203,7
672,135759.82+075017.7_922277_0.0003,922277,922277,L < 42,10.7506,7.593453999598816,6.178987161197269,8.271345137337198,-3.157146000401184,2.4792548626628026,-4.571612838802731,-2.4792548626628026,3.157146000401184,8
336,083234.78+072917.2_922124_0.0003,922124,922124,L < 42,10.1193,6.972275524766733,5.648860050968872,7.550877604115497,-3.147024475233268,2.568422395884504,-4.470439949031129,-2.568422395884504,3.147024475233268,9
831,145859.35+041613.8_922124_0.0001,922124,922124,L < 42,10.1193,6.996090714083188,5.023957512641933,7.768434997024121,-3.123209285916813,2.3508650029758797,-5.095342487358068,-2.3508650029758797,3.123209285916813,10
718,142622.24+214441.1_922124_0.0001,922124,922124,L < 42,10.1193,7.000266818658252,5.754782071470663,7.573121478745241,-3.1190331813417487,2.5461785212547596,-4.364517928529338,-2.5461785212547596,3.1190331813417487,11
948,153204.94+345439.8_922277_0.0001,922277,922277,L < 42,10.7506,7.632806623058441,6.814247007496838,8.244343536113464,-3.11779337694156,2.5062564638865372,-3.936352992503163,-2.5062564638865372,3.11779337694156,12
521,092014.12+453157.3_922124_0.0003,922124,922124,L < 42,10.1193,7.020655874585904,5.81729689848444,7.668047662110396,-3.098644125414097,2.4512523378896045,-4.30200310151556,-2.4512523378896045,3.098644125414097,13
531,092720.73+391853.7_922124_0.0003,922124,922124,L < 42,10.1193,7.026198225354951,5.576871558432176,7.613023461174879,-3.09310177464505,2.506276538825122,-4.542428441567825,-2.506276538825122,3.09310177464505,14
1177,162136.72+495850.8_715818_0.0003,715818,715818,L < 42,9.83864,6.751826582803822,6.004887518645778,7.722636054894102,-3.0868134171961774,2.1160039451058976,-3.833752481354222,-2.1160039451058976,3.0868134171961774,15
180,075217.84+193542.2_315709_0.0003,315709,315709,L < 42,9.08123,6.019798105950945,5.80802188436187,6.188623328265199,-3.061431894049055,2.892606671734801,-3.2732081156381296,-2.892606671734801,3.061431894049055,16
1337,171449.08+350647.6_922277_0.0003,922277,922277,L < 42,10.7506,7.707444378026395,6.847208656952421,8.352910498320155,-3.0431556219736056,2.397689501679846,-3.9033913430475797,-2.397689501679846,3.0431556219736056,17
913,152112.22+025347.6_922124_0.0001,922124,922124,L < 42,10.1193,7.078796532233472,4.76062041034305,8.592283527054684,-3.040503467766529,1.5270164729453164,-5.358679589656951,-1.5270164729453164,3.040503467766529,18
313,082953.91+371830.4_922277_0.0001,922277,922277,L < 42,10.7506,7.73619522248174,6.877618397244884,8.630539253541023,-3.0144047775182603,2.120060746458977,-3.8729816027551163,-2.120060746458977,3.0144047775182603,19
832,145901.07+120752.3_922277_0.0001,922277,922277,L < 42,10.7506,7.792525883633489,6.788465527860003,8.632237355849968,-2.958074116366511,2.1183626441500323,-3.962134472139997,-2.1183626441500323,2.958074116366511,20
1091,160345.75+481458.3_922277_0.0001,922277,922277,L < 42,10.7506,7.796123499017171,6.624264142502656,8.97253998850863,-2.954476500982829,1.7780600114913696,-4.126335857497344,-1.7780600114913696,2.954476500982829,21
397,084349.75+261910.7_473476_0.0001,473476,473476,L < 42,8.82973,5.94528406104307,4.235232656363618,6.752989616552117,-2.884445938956929,2.076740383447882,-4.594497343636382,-2.076740383447882,2.884445938956929,22
133,074524.97+375436.6_922277_0.0003,922277,922277,L < 42,10.7506,7.993877223962642,7.095846132220106,8.772885765346997,-2.7567227760373587,1.9777142346530034,-3.6547538677798945,-1.9777142346530034,2.7567227760373587,23
1214,163111.28+404805.2_473476_0.0001,473476,473476,L < 42,8.82973,6.07801236108439,3.530179330300833,6.763960692230601,-2.751717638915609,2.0657693077693984,-5.299550669699166,-2.0657693077693984,2.751717638915609,24
1232,163459.82+204936.0_315709_0.0003,315709,315709,L < 42,9.08123,6.428391751910096,4.5316346335371005,6.8811798993874165,-2.652838248089904,2.200050100612584,-4.5495953664629,-2.200050100612584,2.652838248089904,25
830,145849.72+191033.4_473476_0.0003,473476,473476,L < 42,8.82973,6.180271747324921,4.601524009521488,6.870409811655105,-2.6494582526750783,1.9593201883448943,-4.228205990478512,-1.9593201883448943,2.6494582526750783,26
1174,162114.39+181949.7_315709_0.0003,315709,315709,L < 42,9.08123,6.4479274225545975,5.493779543727282,6.760224193324243,-2.633302577445402,2.321005806675757,-3.587450456272718,-2.321005806675757,2.633302577445402,27
369,083735.83+533055.7_436135_0.0001,436135,436135,L < 42,10.7492,8.137524003630537,7.188818714931809,8.857178374155788,-2.611675996369464,1.8920216258442122,-3.5603812850681913,-1.8920216258442122,2.611675996369464,28
730,142924.66+060055.5_558594_0.0001,558594,558594,L < 42,10.6406,8.035044930871589,7.140842874738922,8.797494791910566,-2.6055550691284104,1.8431052080894332,-3.499757125261077,-1.8431052080894332,2.6055550691284104,29
1233,163459.82+204936.0_315709_0.001,315709,315709,L < 42,9.08123,6.50997973321955,4.807802685611304,7.0399888585884245,-2.5712502667804493,2.041241141411575,-4.273427314388695,-2.041241141411575,2.5712502667804493,30
153,074948.26+345444.0_315709_0.0003,315709,315709,L < 42,9.08123,6.515282110642923,5.820679453944329,6.749262225255718,-2.5659478893570764,2.3319677747442817,-3.2605505460556703,-2.3319677747442817,2.5659478893570764,31
1069,160110.34+210658.7_473476_0.0003,473476,473476,L < 42,8.82973,6.270714400350911,4.149995405173058,6.879655122532364,-2.559015599649088,1.9500748774676353,-4.679734594826941,-1.9500748774676353,2.559015599649088,32
161,075101.42+291419.1_315709_0.0003,315709,315709,L < 42,9.08123,6.557803912092748,5.631067975416651,6.810855823590505,-2.523426087907252,2.2703741764094945,-3.4501620245833484,-2.2703741764094945,2.523426087907252,33
918,152139.66+033729.2_315709_0.0003,315709,315709,L < 42,9.08123,6.569415364504964,5.223300491908585,6.829220975342799,-2.5118146354950355,2.252009024657201,-3.8579295080914147,-2.252009024657201,2.5118146354950355,34
1051,155609.80+030922.3_315709_0.0003,315709,315709,L < 42,9.08123,6.592407232760393,5.328490234404877,6.83202591003729,-2.488822767239607,2.24920408996271,-3.7527397655951225,-2.24920408996271,2.488822767239607,35
564,093943.75+560230.5_315709_0.0003,315709,315709,L < 42,9.08123,6.5973576318454,5.706404703448381,6.827034839959835,-2.4838723681546,2.2541951600401644,-3.3748252965516183,-2.2541951600401644,2.4838723681546,36
1217,163143.28+282127.9_763682_0.0001,763682,763682,L < 42,10.8411,8.371384627342323,7.9926685418029155,8.992077824527614,-2.469715372657678,1.8490221754723866,-2.8484314581970853,-1.8490221754723866,2.469715372657678,37
1115,160855.60+155200.2_315709_0.0003,315709,315709,L < 42,9.08123,6.617373689109986,5.543364424304736,6.881306292117067,-2.463856310890014,2.199923707882933,-3.537865575695264,-2.199923707882933,2.463856310890014,38
769,144240.79+052423.2_315709_0.0003,315709,315709,L < 42,9.08123,6.624338296473477,5.304646228885357,6.923235550603787,-2.456891703526523,2.157994449396213,-3.776583771114643,-2.157994449396213,2.456891703526523,39
643,134127.40+002050.5_558594_0.0001,558594,558594,L < 42,10.6406,8.199283754718094,7.042078670565139,8.910031554246281,-2.441316245281905,1.7305684457537178,-3.59852132943486,-1.7305684457537178,2.441316245281905,40
786,144430.78+302217.4_558594_0.0001,558594,558594,L < 42,10.6406,8.217113477373191,7.48254458944816,8.918684499357068,-2.423486522626808,1.7219155006429308,-3.158055410551839,-1.7219155006429308,2.423486522626808,41
1190,162711.89+314359.3_558594_0.0003,558594,558594,L < 42,10.6406,8.238973528130119,7.452805961542294,8.85989758955334,-2.4016264718698803,1.7807024104466596,-3.187794038457705,-1.7807024104466596,2.4016264718698803,42
1022,154852.42+031923.2_819051_0.0003,819051,819051,L < 42,10.1652,7.771909097821304,6.587945304584481,8.518543431577447,-2.393290902178697,1.646656568422554,-3.57725469541552,-1.646656568422554,2.393290902178697,43
1169,161949.94+352008.1_233582_0.0001,233582,233582,L < 42,10.4,8.021655701777123,7.036878127953416,8.860639221749818,-2.3783442982228777,1.5393607782501828,-3.3631218720465847,-1.5393607782501828,2.3783442982228777,44
1168,161940.56+254323.0_473476_0.0001,473476,473476,L < 42,8.82973,6.457012249559449,5.120179514501294,6.871505041162836,-2.3727177504405503,1.9582249588371639,-3.7095504854987054,-1.9582249588371639,2.3727177504405503,45
1310,170249.62+400216.7_638798_0.0001,638798,638798,L < 42,10.3417,7.9860254504677695,6.9954487435323625,9.791229177132504,-2.35567454953223,0.5504708228674957,-3.346251256467637,-0.5504708228674957,2.35567454953223,46
80,033431.31+005121.5_226550_0.0003,226550,226550,L < 42,10.3117,7.96272782395009,7.083127295411294,8.6233009533588,-2.3489721760499096,1.6883990466411989,-3.2285727045887054,-1.6883990466411989,2.3489721760499096,47
141,074700.19+285608.5_473476_0.0001,473476,473476,L < 42,8.82973,6.482291974419381,5.299238482491513,6.903027564716013,-2.347438025580619,1.9267024352839863,-3.5304915175084863,-1.9267024352839863,2.347438025580619,48
