row_index,chimera_id,cosmos_id,candidate_input_rank,galaxy_spectrum_path,galaxy_spectrum_path_relative,candidate_source_origin,target_redshift_for_scoring,candidate_status,galaxy_spectrum_snr_source,galaxy_spectrum_snr_median,galaxy_spectrum_snr_p16,galaxy_spectrum_snr_p84,galaxy_spectrum_snr_n_pixels,galaxy_spectrum_wave_min,galaxy_spectrum_wave_max,galaxy_spectrum_error_column,selected_for_composite
4364,092945.44+441435.1_394742_0.003,394742,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_06.243.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_06.243.fits,source_match_audit,0.33880001306533813,ok,flux_mad_fallback,2.4145757468643234,2.4145757468643234,2.4145757468643234,1642,5505.10595703125,9694.5791015625,ERR,True
4365,022837.85+002215.4_396922_0.03,396922,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_59.897.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_59.897.fits,source_match_audit,0.6172000169754028,ok,flux_mad_fallback,3.9557675348665557,3.9557675348665557,3.9557675348665557,1642,5505.10595703125,9694.5791015625,ERR,True
4367,144542.00+140931.1_395903_0.001,395903,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_54_27.680.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_54_27.680.fits,source_match_audit,0.6833999752998352,ok,flux_mad_fallback,1.9770773365888579,1.9770773365888579,1.9770773365888579,1642,5505.10595703125,9694.5791015625,ERR,True
4370,143317.88+173537.6_388284_0.001,388284,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,source_match_audit,0.4729999899864197,ok,flux_mad_fallback,3.544066154597762,3.544066154597762,3.544066154597762,1642,5505.10595703125,9694.5791015625,ERR,True
4372,144017.02+285608.7_385995_0.1,385995,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_47_26.827.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_47_26.827.fits,source_match_audit,0.3264000117778778,ok,flux_mad_fallback,3.7041256964131146,3.7041256964131146,3.7041256964131146,1642,5505.10595703125,9694.5791015625,ERR,True
4373,163404.80+132517.2_384694_0.0003,384694,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_46_50.320.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_46_50.320.fits,source_match_audit,0.25,ok,flux_mad_fallback,6.641746194213886,6.641746194213886,6.641746194213886,1642,5505.10595703125,9694.5791015625,ERR,True
4376,085905.54+310522.9_383199_0.01,383199,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_08.153.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_08.153.fits,source_match_audit,0.7461000084877014,ok,flux_mad_fallback,3.9026865514696483,3.9026865514696483,3.9026865514696483,1642,5505.10595703125,9694.5791015625,ERR,True
4381,165431.77+274944.9_383717_0.03,383717,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_08.060.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_08.060.fits,source_match_audit,0.8848999738693237,ok,flux_mad_fallback,2.6609665216687066,2.6609665216687066,2.6609665216687066,1642,5505.10595703125,9694.5791015625,ERR,True
4382,080009.99+383244.4_388284_0.0003,388284,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,source_match_audit,0.4729999899864197,ok,flux_mad_fallback,3.544066154597762,3.544066154597762,3.544066154597762,1642,5505.10595703125,9694.5791015625,ERR,True
4386,143946.59+040536.1_383517_1,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4389,161301.86+524749.5_383517_0.03,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4398,022417.16-092549.2_385598_1,385598,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_57_57.320.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_57_57.320.fits,source_match_audit,0.31850001215934753,ok,flux_mad_fallback,4.9525532389247795,4.9525532389247795,4.9525532389247795,1642,5505.10595703125,9694.5791015625,ERR,True
4403,140403.02+073333.0_385272_0.3,385272,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_23.480.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_23.480.fits,source_match_audit,0.5619999766349792,ok,flux_mad_fallback,10.100536206884854,10.100536206884854,10.100536206884854,1642,5505.10595703125,9694.5791015625,ERR,True
4409,164311.83+405043.2_391243_0.1,391243,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_35.353.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_35.353.fits,source_match_audit,0.8276000022888184,ok,flux_mad_fallback,5.023956576675804,5.023956576675804,5.023956576675804,1642,5505.10595703125,9694.5791015625,ERR,True
4411,080220.61+140111.3_387232_1,387232,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_32.983.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_32.983.fits,source_match_audit,0.5350000262260437,ok,flux_mad_fallback,2.6022037188259377,2.6022037188259377,2.6022037188259377,1642,5505.10595703125,9694.5791015625,ERR,True
4413,153206.46+474209.4_391243_0.03,391243,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_35.353.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_35.353.fits,source_match_audit,0.8276000022888184,ok,flux_mad_fallback,5.023956576675804,5.023956576675804,5.023956576675804,1642,5505.10595703125,9694.5791015625,ERR,True
4414,092009.24+445217.6_382926_1,382926,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_12.930.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_12.930.fits,source_match_audit,0.5131999850273132,ok,flux_mad_fallback,3.051240130045096,3.051240130045096,3.051240130045096,1642,5505.10595703125,9694.5791015625,ERR,True
4416,085001.16+462600.5_383517_0.001,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4419,201202.37-111522.5_389679_1,389679,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_49.480.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_49.480.fits,source_match_audit,1.4463000297546387,ok,flux_mad_fallback,1.5695492375949542,1.5695492375949542,1.5695492375949542,1642,5505.10595703125,9694.5791015625,ERR,True
4420,091028.19+384743.6_383517_0.0003,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4423,145126.15+032643.3_388284_0.001,388284,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,source_match_audit,0.4729999899864197,ok,flux_mad_fallback,3.544066154597762,3.544066154597762,3.544066154597762,1642,5505.10595703125,9694.5791015625,ERR,True
4425,082231.53+231152.0_391133_1,391133,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_54.947.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_54.947.fits,source_match_audit,0.6575000286102295,ok,flux_mad_fallback,2.6102230973505156,2.6102230973505156,2.6102230973505156,1642,5505.10595703125,9694.5791015625,ERR,True
4428,151922.17+033859.7_388284_0.003,388284,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,source_match_audit,0.4729999899864197,ok,flux_mad_fallback,3.544066154597762,3.544066154597762,3.544066154597762,1642,5505.10595703125,9694.5791015625,ERR,True
4429,142940.74+032125.8_384694_0.03,384694,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_46_50.320.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_46_50.320.fits,source_match_audit,0.25,ok,flux_mad_fallback,6.641746194213886,6.641746194213886,6.641746194213886,1642,5505.10595703125,9694.5791015625,ERR,True
4430,090739.79+614747.4_383517_0.001,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4439,160014.63+273609.8_385272_1,385272,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_23.480.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_23.480.fits,source_match_audit,0.5619999766349792,ok,flux_mad_fallback,10.100536206884854,10.100536206884854,10.100536206884854,1642,5505.10595703125,9694.5791015625,ERR,True
4442,162338.18+472155.1_383517_0.0003,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4443,145627.66+011533.6_383517_0.001,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4444,143837.22+132239.5_389679_0.03,389679,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_49.480.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_49.480.fits,source_match_audit,1.4463000297546387,ok,flux_mad_fallback,1.5695492375949542,1.5695492375949542,1.5695492375949542,1642,5505.10595703125,9694.5791015625,ERR,True
4446,092947.24+401403.8_391359_1,391359,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_52.547.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_52.547.fits,source_match_audit,0.32739999890327454,ok,flux_mad_fallback,1.8265000979856298,1.8265000979856298,1.8265000979856298,1642,5505.10595703125,9694.5791015625,ERR,True
4452,082231.53+231152.0_386661_0.3,386661,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_02_04.557.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_02_04.557.fits,source_match_audit,0.6607000231742859,ok,flux_mad_fallback,5.36806747824928,5.36806747824928,5.36806747824928,1642,5505.10595703125,9694.5791015625,ERR,True
4459,093348.88+622503.6_382702_0.003,382702,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_41.810.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_41.810.fits,source_match_audit,0.5753999948501587,ok,flux_mad_fallback,2.764121477901556,2.764121477901556,2.764121477901556,1642,5505.10595703125,9694.5791015625,ERR,True
4470,082750.29+444847.6_383517_0.0001,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4472,085120.60+570318.4_391359_0.01,391359,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_52.547.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_52.547.fits,source_match_audit,0.32739999890327454,ok,flux_mad_fallback,1.8265000979856298,1.8265000979856298,1.8265000979856298,1642,5505.10595703125,9694.5791015625,ERR,True
4477,142715.08+232911.0_383996_0.3,383996,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_48_08.250.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_48_08.250.fits,source_match_audit,0.2298000007867813,ok,flux_mad_fallback,8.039548917784504,8.039548917784504,8.039548917784504,1642,5505.10595703125,9694.5791015625,ERR,True
4478,075209.09+414235.5_384694_0.001,384694,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_46_50.320.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_46_50.320.fits,source_match_audit,0.25,ok,flux_mad_fallback,6.641746194213886,6.641746194213886,6.641746194213886,1642,5505.10595703125,9694.5791015625,ERR,True
4480,092945.44+441435.1_385995_0.003,385995,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_47_26.827.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_47_26.827.fits,source_match_audit,0.3264000117778778,ok,flux_mad_fallback,3.7041256964131146,3.7041256964131146,3.7041256964131146,1642,5505.10595703125,9694.5791015625,ERR,True
4481,110022.09+645812.9_383717_0.03,383717,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_08.060.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_08.060.fits,source_match_audit,0.8848999738693237,ok,flux_mad_fallback,2.6609665216687066,2.6609665216687066,2.6609665216687066,1642,5505.10595703125,9694.5791015625,ERR,True
4483,162010.98+360316.0_391133_1,391133,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_54.947.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_54.947.fits,source_match_audit,0.6575000286102295,ok,flux_mad_fallback,2.6102230973505156,2.6102230973505156,2.6102230973505156,1642,5505.10595703125,9694.5791015625,ERR,True
4487,080306.75+302411.9_391359_0.03,391359,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_52.547.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_52.547.fits,source_match_audit,0.32739999890327454,ok,flux_mad_fallback,1.8265000979856298,1.8265000979856298,1.8265000979856298,1642,5505.10595703125,9694.5791015625,ERR,True
