group,n_objects,n_with_overlap,median_of_median_ratios,p16_median_ratio,p84_median_ratio,median_abs_log10_slope,n_large_mismatch,n_scale_or_aperture_offset,n_consistent
all,4195,4194,0.7098671047630645,0.4884759231977186,0.9946847520424642,0.42022185704529236,1043,2016,1135
low_qso,975,975,0.5560272239220034,0.3884398982858345,3.4466532229061397,0.529602519330236,610,357,8
high_qso,1941,1940,0.8304384810892766,0.6606706152797459,1.0035661145118902,0.35079253077634187,66,855,1019
