z_min,z_max,n_unique_cosmos_hosts,n_unique_cosmos_hosts_with_zcosmos,pct_unique_cosmos_hosts_with_zcosmos,n_unique_cosmos_hosts_with_sdss_desi,pct_unique_cosmos_hosts_with_sdss_desi,n_unique_cosmos_hosts_with_zcosmos_sdss_desi,pct_unique_cosmos_hosts_with_zcosmos_sdss_desi,n_unique_cosmos_hosts_with_external_catalog,pct_unique_cosmos_hosts_with_external_catalog,n_unique_cosmos_hosts_with_any_spectrum,pct_unique_cosmos_hosts_with_any_spectrum,n_chimera_rows,n_chimera_rows_with_zcosmos,pct_chimera_rows_with_zcosmos,n_chimera_rows_with_sdss_desi,pct_chimera_rows_with_sdss_desi,n_chimera_rows_with_zcosmos_sdss_desi,pct_chimera_rows_with_zcosmos_sdss_desi,n_chimera_rows_with_external_catalog,pct_chimera_rows_with_external_catalog,n_chimera_rows_with_any_spectrum,pct_chimera_rows_with_any_spectrum
0.0,0.4,496,369,74.39516129032258,128,25.806451612903224,380,76.61290322580645,380,76.61290322580645,394,79.43548387096774,3146,1554,49.396058486967576,534,16.973935155753338,1615,51.33502860775588,1578,50.158931977113795,1705,54.19580419580419
0.4,0.8,637,489,76.76609105180533,146,22.91993720565149,501,78.64992150706436,494,77.55102040816327,509,79.90580847723704,5094,2477,48.62583431488025,948,18.61012956419317,2552,50.09815469179427,2375,46.62347860227719,2584,50.726344719277584
0.8,1.2,316,126,39.87341772151899,62,19.620253164556964,138,43.67088607594937,128,40.50632911392405,144,45.56962025316456,3387,670,19.781517567168585,361,10.658399763802775,699,20.637732506643047,663,19.5748449955713,736,21.73014467080012
1.2,1.6,180,12,6.666666666666667,22,12.222222222222221,28,15.555555555555555,6,3.3333333333333335,28,15.555555555555555,2169,77,3.5500230520977407,108,4.979253112033195,159,7.330567081604426,26,1.1987090825265099,159,7.330567081604426
1.6,2.0,100,2,2.0,3,3.0,5,5.0,0,0.0,5,5.0,1050,12,1.1428571428571428,27,2.5714285714285716,39,3.7142857142857144,0,0.0,39,3.7142857142857144
2.0,3.0,331,4,1.2084592145015105,0,0.0,4,1.2084592145015105,0,0.0,4,1.2084592145015105,2459,41,1.6673444489629932,0,0.0,41,1.6673444489629932,0,0.0,41,1.6673444489629932
3.0,6.0,158,2,1.2658227848101267,1,0.6329113924050633,3,1.8987341772151898,0,0.0,3,1.8987341772151898,2245,81,3.6080178173719375,26,1.158129175946548,107,4.766146993318485,0,0.0,107,4.766146993318485
