status,chimera_id,row_index,cosmos_id,dr7q_spectrum_id,chimera_redshift,dr7q_redshift,chimera_qso_weight,source_spectrum_path,reason
rejected,143821.39+094623.1_810483_0.0003,18646,810483,1711-53535-229,0.796999990940094,0.8042000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/143821.39+094623.1_810483_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 10.2614 is outside allowed range
rejected,153542.39+352524.8_810483_0.0003,18649,810483,1402-52872-340,0.796999990940094,0.8038000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/153542.39+352524.8_810483_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 10.8486 is outside allowed range
rejected,015222.08+133415.4_810798_0.003,18650,810798,430-51877-183,0.3700000047683716,0.37710000000000005,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/015222.08+133415.4_810798_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 8.91699 is outside allowed range
rejected,143821.39+094623.1_810483_0.001,18651,810483,1711-53535-229,0.796999990940094,0.8042000000000001,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/143821.39+094623.1_810483_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 9.54437 is outside allowed range
rejected,143621.30+064548.4_810483_0.0001,18656,810483,1828-53504-471,0.796999990940094,0.8041000000000001,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/143621.30+064548.4_810483_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 11.0491 is outside allowed range
rejected,150649.00+072203.8_810483_0.0003,18661,810483,1816-53919-222,0.796999990940094,0.805,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/150649.00+072203.8_810483_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 10.8728 is outside allowed range
rejected,190150.86+791420.9_809638_0.0001,18665,809638,1857-53182-340,0.9290000200271606,0.9374000000000001,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/190150.86+791420.9_809638_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.09106 is outside allowed range
rejected,074626.61+401553.7_810483_0.0003,18668,810483,432-51884-591,0.796999990940094,0.7983000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/074626.61+401553.7_810483_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 10.2746 is outside allowed range
rejected,164158.95+455508.7_810483_0.0003,18669,810483,627-52144-26,0.796999990940094,0.8016000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/164158.95+455508.7_810483_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 10.3965 is outside allowed range
rejected,153526.16+403900.6_810483_0.0001,18670,810483,1679-53149-147,0.796999990940094,0.7967000000000001,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/153526.16+403900.6_810483_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 10.673 is outside allowed range
