dr7q_plate,dr7q_mjd,dr7q_fiber
1386,53116,536
1387,53118,10
1387,53118,75
1387,53118,542
1388,53119,378
1388,53119,469
1389,53135,165
1389,53135,395
1389,53135,545
1390,53142,309
1391,52817,198
1391,52817,386
1399,53172,31
1399,53172,210
1400,53470,34
1400,53470,461
1400,53470,638
1401,53144,142
1402,52872,148
1402,52872,594
1403,53227,21
1403,53227,351
1404,52825,83
1404,52825,123
1404,52825,381
1404,52825,477
1404,52825,489
1405,52826,161
1405,52826,369
1405,52826,417
1405,52826,458
1405,52826,561
1405,52826,566
1406,52876,287
1406,52876,340
1407,52886,363
1407,52886,364
1408,52822,103
1408,52822,152
1408,52822,298
1409,52824,85
1409,52824,86
1414,53135,56
1414,53135,124
1414,53135,570
1415,52885,231
1417,53141,580
1418,53142,218
1418,53142,341
1418,53142,349
1419,53144,88
1420,53146,17
1420,53146,147
1420,53146,166
1420,53146,415
1421,53149,401
1423,53167,14
1423,53167,28
1423,53167,222
1423,53167,419
1423,53167,607
1424,52912,395
1425,52913,132
1425,52913,246
1507,53763,170
1529,52930,213
1567,53172,368
1567,53172,633
1568,53169,13
1568,53169,269
1568,53169,441
1568,53169,594
1569,53168,126
1569,53168,135
1569,53168,420
1569,53168,576
1570,53149,393
1570,53149,468
1571,53174,33
1571,53174,481
1572,53177,130
1573,53226,621
1574,53476,230
1574,53476,401
1575,53493,34
1575,53493,51
1576,53496,25
1576,53496,279
1576,53496,394
1577,53495,220
1577,53495,570
1579,53473,167
1579,53473,365
1580,53145,142
1581,53149,46
1581,53149,307
1581,53149,424
1581,53149,543
1582,52939,49
1582,52939,313
1583,52941,39
1583,52941,110
1583,52941,191
1583,52941,574
1583,52941,579
1584,52943,165
1584,52943,255
1584,52943,557
1585,52962,377
1585,52962,557
1585,52962,573
1586,52945,27
1586,52945,87
1586,52945,217
1586,52945,348
1586,52945,379
1587,52964,516
1588,52965,319
1588,52965,518
1589,52972,327
1590,52974,168
1590,52974,356
1590,52974,627
1591,52976,93
1591,52976,145
1591,52976,299
1591,52976,305
1591,52976,491
1592,52990,392
1592,52990,420
1592,52990,446
1593,52991,344
1646,53498,156
1647,53531,297
1647,53531,589
1647,53531,639
1648,53171,115
1648,53171,289
1648,53171,404
1649,53149,229
1649,53149,464
1650,53174,53
1650,53174,483
1651,53442,97
1651,53442,213
1651,53442,548
1652,53555,387
1652,53555,590
1653,53534,23
1653,53534,359
1654,53498,86
1654,53498,417
1654,53498,475
1657,53520,120
1657,53520,219
1657,53520,423
1657,53520,570
1658,53240,287
1658,53240,358
1659,53224,176
1659,53224,476
1666,52991,193
1677,53148,514
1677,53148,536
1677,53148,570
1678,53433,533
1679,53149,138
1680,53171,178
1680,53171,477
1680,53171,558
1680,53171,570
1681,53172,233
1681,53172,267
1681,53172,387
1681,53172,424
1681,53172,584
1682,53173,166
1682,53173,183
1682,53173,564
1683,53436,66
1683,53436,190
1683,53436,500
1684,53239,454
1684,53239,507
1685,53463,260
1685,53463,406
1686,53472,156
1686,53472,401
1687,53260,125
1687,53260,362
1687,53260,428
1688,53462,35
1688,53462,165
1688,53462,447
1689,53177,544
1689,53177,635
1690,53475,310
1690,53475,350
1690,53475,600
1690,53475,608
1690,53475,616
1691,53260,55
1691,53260,344
1691,53260,383
1692,53473,36
1692,53473,469
1693,53446,449
1693,53446,465
1702,53144,229
1702,53144,550
1702,53144,597
1703,53799,128
1703,53799,457
1704,53178,27
1704,53178,31
1704,53178,464
1705,53848,581
1705,53848,623
1706,53442,600
1707,53885,53
1707,53885,376
1707,53885,479
1708,53503,335
1708,53503,354
1709,53533,168
1709,53533,230
1711,53535,171
1711,53535,257
1711,53535,386
1711,53535,567
1712,53531,85
1712,53531,259
1712,53531,277
1712,53531,384
1712,53531,605
1713,53827,63
1713,53827,497
1714,53521,97
1714,53521,162
1714,53521,257
1714,53521,431
1714,53521,560
1715,54212,51
1716,53827,120
1716,53827,250
1716,53827,603
1717,53883,209
1717,53883,279
1717,53883,427
1717,53883,610
1718,53850,79
1718,53850,632
1720,53854,14
1720,53854,315
1721,53857,236
1721,53857,248
1721,53857,332
1722,53852,49
1722,53852,111
1722,53852,158
1722,53852,259
1723,53905,54
1723,53905,486
1723,53905,609
1724,53859,47
1724,53859,247
1725,54266,443
1725,54266,602
1726,53137,296
1726,53137,566
1726,53137,582
1727,53859,114
1727,53859,122
1727,53859,610
1728,53228,417
1729,53858,18
1729,53858,175
1730,53498,178
1730,53498,300
1730,53498,367
1731,53884,459
1731,53884,523
1733,53047,40
1733,53047,232
1733,53047,458
1733,53047,599
1735,53035,29
1735,53035,556
1735,53035,626
1736,53052,38
1737,53055,27
1737,53055,617
1756,53080,395
1757,53083,223
1757,53083,614
1758,53084,16
1758,53084,317
1758,53084,358
1759,53081,253
1759,53081,402
1759,53081,447
1760,53086,130
1760,53086,214
1778,53883,95
1779,53089,214
1779,53089,444
1779,53089,613
1780,53090,8
1780,53090,187
1781,53297,218
1781,53297,437
1782,53383,286
1783,53386,128
1783,53386,345
1783,53386,434
1784,54425,619
1785,54439,149
1785,54439,273
1785,54439,359
1785,54439,427
1785,54439,568
1786,54450,407
1786,54450,598
1787,54465,36
1787,54465,579
1788,54468,12
1788,54468,356
1788,54468,495
1806,53559,11
1807,54175,8
1807,54175,215
1807,54175,259
1807,54175,442
1807,54175,581
1808,54176,134
1808,54176,396
1808,54176,532
1808,54176,577
1809,53792,105
1810,53794,267
1810,53794,451
1811,53533,90
1811,53533,149
1811,53533,350
1812,53795,358
1812,53795,422
1812,53795,432
1812,53795,502
1813,53903,317
1813,53903,471
1813,53903,493
