status,row_index,chimera_id,cosmos_id,dr7q_spectrum_id,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_requested_key,dr7q_matched_key,qso_key_was_remapped,qso_match_source,qso_missing_reason,qso_coordinate_sep_arcsec,qso_ra_deg,qso_dec_deg,qso_catalog_name,qso_catalog_oname,qso_catalog_ra_deg,qso_catalog_dec_deg,qso_catalog_plate,qso_catalog_smjd,qso_catalog_rmjd,qso_catalog_fiber,chimera_redshift,galaxy_spectroscopic_redshift,dr7q_redshift,chimera_qso_weight,galaxy_ra_deg,galaxy_dec_deg,galaxy_match_source,n_explicit_galaxy_paths,n_header_galaxy_paths,n_coordinate_galaxy_paths,n_combined_galaxy_paths,coordinate_sep_arcsec,coordinate_zcosmos_object,galaxy_spectrum_path,dr7q_spectrum_path
missing_dr7q,3246,074759.02+431805.3_490469_1,490469,434-51885-422,434,51885,422,434-51885-422,434-51885-422,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,116.99592999999999,43.301489999999994,074759.02+431805.3,SDSS J074759.02+431805.4,116.995934,43.301492,434,51885,51640,422,0.5041000247001648,0.5041000247001648,0.5010000000000001,1.0,149.5602956185913,2.0449683948369946,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_54_34.453.fits,
missing_both,3248,143623.87+185448.6_489714_1,489714,2775-54535-477,2775,54535,477,2775-54535-477,2775-54535-477,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,219.09945999999997,18.91351,143623.87+185448.6,,219.09946,18.913514,2775,54535,53439,477,0.8299999833106995,0.8299999833106995,0.8337000000000001,1.0,150.1622344099067,2.0440263429000156,none,0,0,0,0,19.871100604402866,,,
missing_dr7q,3250,165019.34+362205.1_480994_0.3,480994,819-52409-461,819,52409,461,819-52409-461,819-52409-461,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,252.58059999999998,36.3681,165019.34+362205.1,SDSS J165019.34+362205.2,252.580603,36.368097,819,52409,52052,461,1.1507999897003174,1.1507999897003174,1.1602000000000001,0.3,149.69007592206378,2.0302047173986177,coordinate_fallback,0,0,1,1,0.06277512321588971,820240,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_48_58.840.fits,
missing_dr7q,3255,085825.96+250907.7_460318_0.03,460318,1933-53381-109,1933,53381,109,1933-53381-109,1933-53381-109,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,134.60816999999997,25.152139999999996,085825.96+250907.7,SDSS J085825.96+250907.7,134.608167,25.152142,1933,53381,53081,109,0.5659000277519226,0.5659000277519226,0.5702,0.03,150.72936733934665,1.995217548536535,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_55_43.213.fits,
missing_both,3257,155432.68+214348.1_460759_0.0003,460759,2171-53557-164,2171,53557,164,2171-53557-164,2171-53557-164,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,238.63617999999997,21.73005,155432.68+214348.1,KUV 15524+2153,238.636184,21.73005,2171,53557,53111,164,0.2842000126838684,0.2842000126838684,0.28480000000000005,0.0003,150.2173704789393,1.9981476230205935,none,0,0,0,0,30.822222360841884,,,
missing_both,3258,135956.08+100138.2_430018_0.3,430018,1807-54175-442,1807,54175,442,1807-54175-442,1807-54175-442,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,209.98366999999996,10.027289999999999,135956.08+100138.2,,209.983676,10.02729,1807,54175,52757,442,1.832800030708313,1.832800030708313,1.8379000000000003,0.3,150.37291804773005,1.9486501664996894,none,0,0,0,0,11.221671861198129,,,
missing_both,3262,150829.79+055454.2_430114_1,430114,1832-54259-423,1832,54259,423,1832-54259-423,1832-54259-423,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,227.12414999999996,5.915069999999999,150829.79+055454.2,,227.124152,5.915069,1832,54259,52757,423,1.6030999422073364,1.6030999422073364,1.5997000000000001,1.0,150.46069979791136,1.9487974692828582,none,0,0,0,0,32.91678160580792,,,
missing_both,3265,081545.28+124558.6_435443_0.1,435443,2420-54086-574,2420,54086,574,2420-54086-574,2420-54086-574,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,123.93867999999999,12.766289999999998,081545.28+124558.6,,123.938682,12.766293,2420,54086,53405,574,1.7259000539779663,1.7259000539779663,1.7300000000000002,0.1,150.53730809061773,1.9568744536121414,none,0,0,0,0,10.423418047605429,,,
missing_both,3268,082637.04+273441.6_432603_0.001,432603,1267-52932-142,1267,52932,142,1267-52932-142,1267-52932-142,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,126.65436999999999,27.578229999999998,082637.04+273441.6,SDSS J082637.05+273441.6,126.654373,27.578226,1267,52932,52664,142,2.2451000213623047,2.2451000213623047,2.2379000000000002,0.001,150.2804079154222,1.9530183908948646,none,0,0,0,0,11.753188125311762,,,
missing_both,3271,033842.62+002128.4_432603_0.3,432603,714-52201-423,714,52201,423,714-52201-423,714-52201-423,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,54.67759999999999,0.35789999999999994,033842.62+002128.4,SDSS J033842.62+002128.4,54.677602,0.3579,714,52201,52234,423,2.2451000213623047,2.2451000213623047,2.236,0.3,150.2804079154222,1.9530183908948646,none,0,0,0,0,11.753188125311762,,,
missing_both,3272,151855.86+215838.2_430018_1,430018,2158-54209-81,2158,54209,81,2158-54209-81,2158-54209-81,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,229.73276999999996,21.977279999999997,151855.86+215838.2,,229.732766,21.97728,2158,54209,53148,81,1.832800030708313,1.832800030708313,1.8395000000000001,1.0,150.37291804773005,1.9486501664996894,none,0,0,0,0,11.221671861198129,,,
missing_both,3274,151932.52+141713.2_430018_1,430018,2766-54242-12,2766,54242,12,2766-54242-12,2766-54242-12,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,229.88549999999998,14.287009999999999,151932.52+141713.2,,229.885502,14.287008,2766,54242,53499,12,1.832800030708313,1.832800030708313,1.8290000000000002,1.0,150.37291804773005,1.9486501664996894,none,0,0,0,0,11.221671861198129,,,
missing_both,3276,073254.78+360538.4_432382_1,432382,2073-53728-557,2073,53728,557,2073-53728-557,2073-53728-557,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,113.22826999999998,36.09401,073254.78+360538.4,,113.22827,36.094013,2073,53728,51659,557,1.545799970626831,1.545799970626831,1.5543000000000002,1.0,150.33912324477308,1.9525865999796646,none,0,0,0,0,15.619989314417712,,,
missing_both,3279,081050.90+350828.7_434452_1,434452,892-52378-5,892,52378,5,892-52378-5,892-52378-5,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,122.71208999999999,35.14131,081050.90+350828.7,SDSS J081050.90+350828.7,122.712092,35.141311,892,52378,52262,5,1.2339999675750732,1.2339999675750732,1.2366000000000001,1.0,150.39024081432484,1.9554191100560407,none,0,0,0,0,5.847861329645449,,,
missing_both,3280,150829.79+055454.2_430114_0.1,430114,1832-54259-423,1832,54259,423,1832-54259-423,1832-54259-423,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,227.12414999999996,5.915069999999999,150829.79+055454.2,,227.124152,5.915069,1832,54259,52757,423,1.6030999422073364,1.6030999422073364,1.5997000000000001,0.1,150.46069979791136,1.9487974692828582,none,0,0,0,0,32.91678160580792,,,
