status,row_index,chimera_id,cosmos_id,dr7q_spectrum_id,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_requested_key,dr7q_matched_key,qso_key_was_remapped,qso_match_source,qso_missing_reason,qso_coordinate_sep_arcsec,qso_ra_deg,qso_dec_deg,qso_catalog_name,qso_catalog_oname,qso_catalog_ra_deg,qso_catalog_dec_deg,qso_catalog_plate,qso_catalog_smjd,qso_catalog_rmjd,qso_catalog_fiber,chimera_redshift,galaxy_spectroscopic_redshift,dr7q_redshift,chimera_qso_weight,galaxy_ra_deg,galaxy_dec_deg,galaxy_match_source,n_explicit_galaxy_paths,n_header_galaxy_paths,n_coordinate_galaxy_paths,n_combined_galaxy_paths,coordinate_sep_arcsec,coordinate_zcosmos_object,galaxy_spectrum_path,dr7q_spectrum_path
missing_dr7q,10,144130.51+114437.6_456199_0.001,456199,1712-53531-259,1712,53531,259,1712-53531-259,1712-53531-259,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,220.37711999999996,11.743789999999999,144130.51+114437.6,SDSS J144130.51+114437.6,220.377127,11.743786,1712,53531,52812,259,0.5300999879837036,0.5300999879837036,0.5206000000000001,0.001,149.89338092430862,1.9882419853831572,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_50_15.397.fits,
missing_both,11,085817.31+323202.2_369279_1,369279,1272-52989-296,1272,52989,296,1272-52989-296,1272-52989-296,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,134.57213,32.53397,085817.31+323202.2,SDSS J085817.31+323202.3,134.572131,32.533972,1272,52989,52639,296,0.5600000023841858,0.5600000023841858,0.5597000000000001,1.0,150.0755506146407,1.8531062067171646,none,0,0,0,0,21.06493526870823,,,
missing_galaxy,12,083905.57+301656.5_420245_0.1,420245,1269-52937-397,1269,52937,397,1269-52937-397,1269-52937-397,False,exact_plate_mjd_fiber,,nan,129.77325,30.282379999999996,083905.57+301656.5,SDSS J083905.58+301656.5,129.773249,30.282383,1269,52937,52639,397,1.2699999809265137,1.2699999809265137,1.2675,0.1,150.61318665821082,1.932967843211606,none,0,0,0,0,25.250589930839784,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1269-52937-0397.fits
matched,13,143730.46+075127.9_416386_1,416386,1813-53903-302,1813,53903,302,1813-53903-302,1813-53903-302,False,exact_plate_mjd_fiber,,nan,219.37693999999996,7.857769999999999,143730.46+075127.9,,219.376945,7.857772,1813,53903,52756,302,0.2653000056743622,0.2653000056743622,0.257,1.0,150.01650608679552,1.9261628279786458,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_57_56.177.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1813-53903-0302.fits
missing_dr7q,14,084115.91+274339.0_422475_0.0003,422475,1588-52965-319,1588,52965,319,1588-52965-319,1588-52965-319,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,130.31629999999998,27.727509999999995,084115.91+274339.0,SDSS J084115.91+274339.0,130.316302,27.727506,1588,52965,52671,319,0.5776000022888184,0.5776000022888184,0.5817000000000001,0.0003,149.87388887627935,1.9355206850142457,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_39.547.fits,
matched,15,083406.99+303749.4_435667_0.03,435667,1208-52672-109,1208,52672,109,1208-52672-109,1208-52672-109,False,exact_plate_mjd_fiber,,nan,128.52913999999998,30.630419999999997,083406.99+303749.4,SDSS J083406.99+303749.5,128.529148,30.630416,1208,52672,52585,109,0.7272999882698059,0.7272999882698059,0.7322000000000001,0.03,149.72938742283935,1.9568468054124397,coordinate_fallback,0,0,1,1,0.08319637180461262,813674,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_57_49.697.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1208-52672-0109.fits
matched,16,023240.83-092113.5_652370_1,652370,455-51909-281,455,51909,281,455-51909-281,455-51909-281,False,exact_plate_mjd_fiber,,nan,38.17014999999999,-9.353769999999999,023240.83-092113.5,SDSS J023240.83-092113.5,38.170156,-9.353774,455,51909,51465,281,0.7279000282287598,0.7279000282287598,0.7371000000000001,1.0,150.16537948452046,2.2894080794980662,coordinate_fallback,0,0,1,1,0.049231655351351856,824544,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_01_34.810.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-455-51909-0281.fits
missing_dr7q,17,140030.13+002208.5_638362_0.3,638362,301-51942-545,301,51942,545,301-51942-545,301-51942-545,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,210.12557999999999,0.36904,140030.13+002208.5,SDSS J140030.13+002208.5,210.125582,0.369037,301,51942,51259,545,0.25099998712539673,0.25099998712539673,0.2584,0.3,149.86602972432874,2.267845273452656,coordinate_fallback,0,0,1,1,0.06786910161292309,826061,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_31.657.fits,
missing_galaxy,18,164527.79+194534.3_634789_0.03,634789,1569-53168-217,1569,53168,217,1569-53168-217,1569-53168-217,False,exact_plate_mjd_fiber,,nan,251.36579999999998,19.759549999999997,164527.79+194534.3,SDSS J164527.79+194534.3,251.365797,19.759549,1569,53168,52758,217,1.2237999439239502,1.2237999439239502,1.2163000000000002,0.03,149.78969868140126,2.2635990850347305,none,0,0,0,0,14.021383825195423,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1569-53168-0217.fits
missing_galaxy,19,021833.19+002525.8_636233_0.1,636233,703-52209-549,703,52209,549,703-52209-549,703-52209-549,False,exact_plate_mjd_fiber,,nan,34.63829,0.42384999999999995,021833.19+002525.8,SDSS J021833.19+002525.8,34.638295,0.423847,703,52209,52522,549,0.8479999899864197,0.8479999899864197,0.8446000000000001,0.1,150.38168246144232,2.2658687463834477,none,0,0,0,0,9.913340872475336,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-703-52209-0549.fits
