cosmos_id,representative_chimera_id,n_chimeras_in_provenance,host_ra_deg,host_dec_deg,host_redshift,service,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,match_redshift_error,delta_redshift,redshift_consistent,spectype,subclass,data_release,spectrum_id,plate,mjd,fiber,targetid,sparcl_id
929394,151338.71+413904.9_929394_0.3,3,150.1406330654331,2.710893860818697,0.7767999768257141,desi,1,150.14061217916975,2.7109016651974005,0.08018942293336646,0.7761298053226972,1.9530112546369252e-05,-0.0006701715030169586,True,GALAXY,,DESI-EDR,39627853683231890,,,,,04ceae0b-9ca3-11ee-848f-525400ad1336
929394,151338.71+413904.9_929394_0.3,3,150.1406330654331,2.710893860818697,0.7767999768257141,desi,2,150.14061217916975,2.7109016651974005,0.08018942293336646,0.7761253745764025,1.5357898128209985e-05,-0.0006746022493115955,True,GALAXY,,DESI-DR1,39627853683231890,,,,,1687e3d4-89a6-11ef-9ffa-525400f334e1
929394,151338.71+413904.9_929394_0.3,3,150.1406330654331,2.710893860818697,0.7767999768257141,desi,3,150.14061217916975,2.7109016651974005,0.08018942293336646,0.7762136154121061,3.3296716518519357e-05,-0.0005863614136080164,True,GALAXY,,DESI-DR1,39627853683231890,,,,,617259b8-8813-11ef-9522-525400f334e1
644415,085353.71+142920.2_644415_0.0003,3,149.78779119545896,2.2764507047781994,0.478300005197525,desi,1,149.78777435478085,2.2764736632501252,0.10247375813329593,0.47798319480132734,1.0000100895815897e-05,-0.00031681039619768647,True,GALAXY,,DESI-DR1,39089837394899662,,,,,33348868-8787-11ef-b32b-525400f334e1
456199,144130.51+114437.6_456199_0.001,2,149.89338092430862,1.9882419853831572,0.5300999879837036,desi,1,149.89337437467776,1.9882280205435179,0.0555220817498776,0.5296814071463171,4.746099675485692e-05,-0.0004185808373865507,True,GALAXY,,DESI-DR1,39089837394906800,,,,,f0f3525f-8786-11ef-bbcb-525400f334e1
634789,164527.79+194534.3_634789_0.03,2,149.78969868140126,2.2635990850347305,1.2237999439239502,desi,1,149.7897132990164,2.263592131606305,0.05823677453046722,1.2228308051577408,0.00012636967619172721,-0.0009691387662094098,True,GALAXY,,DESI-DR1,39627841599439869,,,,,2bf61d94-89a5-11ef-8b11-525400f334e1
634789,164527.79+194534.3_634789_0.03,2,149.78969868140126,2.2635990850347305,1.2237999439239502,desi,2,149.7897132990164,2.263592131606305,0.05823677453046722,1.2228192535109617,0.00011028326231039896,-0.0009806904129885385,True,GALAXY,,DESI-EDR,39627841599439869,,,,,37ad86a0-9d38-11ee-ac58-525400ad1336
634789,164527.79+194534.3_634789_0.03,2,149.78969868140126,2.2635990850347305,1.2237999439239502,desi,3,149.7897132990164,2.263592131606305,0.05823677453046722,0.932752477574551,2.232146096148817e-46,-0.29104746634939915,False,GALAXY,,DESI-DR1,39627841599439869,,,,,441f0dec-87f0-11ef-8cfd-525400f334e1
634789,164527.79+194534.3_634789_0.03,2,149.78969868140126,2.2635990850347305,1.2237999439239502,desi,4,149.7897132990164,2.263592131606305,0.05823677453046722,-0.0019956912923479522,4.1311493573349107e-48,-1.2257956352162982,False,STAR,,DESI-EDR,39627841599439869,,,,,a14fbc35-9b0a-11ee-b2a9-525400ad1336
640223,163642.91+332729.0_640223_1,1,149.75671365111765,2.271359043497398,0.9039999842643738,desi,1,149.7566978439259,2.2713706524669766,0.07056762312844203,0.9046443400007104,2.2561156911005852e-05,0.0006443557363365882,True,GALAXY,,DESI-DR1,39627841599439062,,,,,30dc8547-89a5-11ef-b0ce-525400f334e1
640223,163642.91+332729.0_640223_1,1,149.75671365111765,2.271359043497398,0.9039999842643738,desi,2,149.7566978439259,2.2713706524669766,0.07056762312844203,0.9046431005467165,2.2075831536075363e-05,0.0006431162823427039,True,GALAXY,,DESI-EDR,39627841599439062,,,,,4224b672-9d38-11ee-b48d-525400ad1336
604414,143730.21+082700.6_604414_0.0001,1,149.78022321410805,2.217754153417058,1.1593999862670898,desi,1,149.78018362509385,2.217747288356417,0.14454222385349405,1.1589882224180486,2.6760893885746704e-05,-0.00041176384904129115,True,GALAXY,,DESI-DR1,39627841599439623,,,,,30cea048-89a5-11ef-bdc8-525400f334e1
604414,143730.21+082700.6_604414_0.0001,1,149.78022321410805,2.217754153417058,1.1593999862670898,desi,2,149.78018362509385,2.217747288356417,0.14454222385349405,1.158983252877181,2.8109985800021723e-05,-0.0004167333899087744,True,GALAXY,,DESI-EDR,39627841599439623,,,,,420784a4-9d38-11ee-9211-525400ad1336
604414,143730.21+082700.6_604414_0.0001,1,149.78022321410805,2.217754153417058,1.1593999862670898,desi,3,149.78018362509385,2.217747288356417,0.14454222385349405,1.1589936328441501,3.6591323292656096e-05,-0.0004063534229397092,True,GALAXY,,DESI-DR1,39627841599439623,,,,,d10ad583-8812-11ef-a873-525400f334e1
601996,075515.06+185856.8_601996_0.03,5,150.70291407516427,2.21344501706475,0.4627000093460083,desi,1,150.70289561173493,2.2134386600941913,0.0702508235326382,0.4626179162642962,5.20740250592701e-06,-8.209308171208685e-05,True,GALAXY,,DESI-DR1,39089837395033116,,,,,276b6254-8786-11ef-858d-525400f334e1
617822,153004.79+101207.5_617822_1,1,150.45743368826035,2.235078456568293,0.22120000422000885,desi,1,150.4574206610787,2.2350791303698494,0.04692491267639324,0.2212755765708756,7.004410114929136e-06,7.55723508667483e-05,True,GALAXY,,DESI-DR1,39627841607832696,,,,,3b88b2e3-88f3-11ef-8096-525400f334e1
617822,153004.79+101207.5_617822_1,1,150.45743368826035,2.235078456568293,0.22120000422000885,desi,2,150.4574206610787,2.2350791303698494,0.04692491267639324,0.2212755315408517,7.0328084949944916e-06,7.552732084284419e-05,True,GALAXY,,DESI-EDR,39627841607832696,,,,,b5032bff-9b38-11ee-82f9-525400ad1336
617822,153004.79+101207.5_617822_1,1,150.45743368826035,2.235078456568293,0.22120000422000885,desi,3,150.4574206610787,2.2350791303698494,0.04692491267639324,0.22130490660609695,4.389948186779914e-06,0.00010490238608809599,True,GALAXY,,DESI-DR1,39627841607832696,,,,,d34d3542-8b70-11ef-b9d1-525400f334e1
915587,080320.08+252602.4_915587_0.003,3,149.50627951157267,2.68759314853932,0.47099998593330383,desi,1,149.50629251041852,2.687595615474207,0.047580540812193754,0.4705310333267887,9.916528948535777e-05,-0.00046895260651513837,True,GALAXY,,DESI-DR1,39089837394912103,,,,,2de6014e-8787-11ef-816a-525400f334e1
432099,080409.24+385348.8_432099_0.0003,1,150.55995647425726,1.9491856007384945,0.218299999833107,desi,1,150.559898305159,1.9491743001567177,0.2132048946019719,0.12054181560443361,4.8316037545072875e-05,-0.09775818422867338,False,GALAXY,,DESI-DR1,39627835572225561,,,,,6e58720a-89a3-11ef-9c5f-525400f334e1
432099,080409.24+385348.8_432099_0.0003,1,150.55995647425726,1.9491856007384945,0.218299999833107,desi,2,150.559898305159,1.9491743001567177,0.2132048946019719,0.19898539667727957,7.16740128730976e-05,-0.01931460315582742,True,GALAXY,,DESI-EDR,39627835572225561,,,,,b4992f77-9b8d-11ee-8ea3-525400ad1336
436135,164806.79+272658.8_436135_0.01,6,149.59586284362507,1.9562206511302702,0.5309000015258789,desi,1,149.59584063148836,1.9562172580254724,0.08084523336437947,0.5299673012230763,9.550849139605535e-05,-0.0009327003028025693,True,GALAXY,,DESI-DR1,39089837394921296,,,,,052dc305-8787-11ef-80fe-525400f334e1
463262,154042.89+323307.2_463262_0.0003,2,150.75065616862616,2.0014599522706056,0.9259999990463257,desi,1,150.75061794266233,2.0014298653689653,0.17506010674705288,0.926126339518352,1.56858158080671e-05,0.0001263404720263095,True,GALAXY,,DESI-EDR,39627835576418348,,,,,8fe9672a-9afb-11ee-9c38-525400ad1336
463262,154042.89+323307.2_463262_0.0003,2,150.75065616862616,2.0014599522706056,0.9259999990463257,desi,2,150.75061794266233,2.0014298653689653,0.17506010674705288,0.9261285992759023,1.5749041168968694e-05,0.0001286002295766142,True,GALAXY,,DESI-DR1,39627835576418348,,,,,d86bb172-87ef-11ef-b5cf-525400f334e1
447761,081554.14+383122.3_447761_0.03,1,150.00588503052478,1.9765331213302075,0.9980999827384949,desi,1,150.00587040579975,1.9764685015316579,0.23850771681389413,0.9976979632761704,4.4197642957184175e-05,-0.0004020194623244322,True,GALAXY,,DESI-EDR,39627835563835550,,,,,2cb32cb0-9b8d-11ee-9751-525400ad1336
447761,081554.14+383122.3_447761_0.03,1,150.00588503052478,1.9765331213302075,0.9980999827384949,desi,2,150.00587040579975,1.9764685015316579,0.23850771681389413,0.997705806824237,4.366149349721586e-05,-0.0003941759142578327,True,GALAXY,,DESI-DR1,39627835563835550,,,,,3180d85a-89a3-11ef-905b-525400f334e1
447761,081554.14+383122.3_447761_0.03,1,150.00588503052478,1.9765331213302075,0.9980999827384949,desi,3,150.00587040579975,1.9764685015316579,0.23850771681389413,0.9977171315829738,4.5799735454278925e-05,-0.00038285115552105786,True,GALAXY,,DESI-DR1,39627835563835550,,,,,8676ad33-8811-11ef-8451-525400f334e1
